Time [s],Channel 6
10.242906000,1
10.242922000,0
10.242966000,1
10.242982000,0
10.243026000,1
10.243044000,0
10.243086000,1
10.243102000,0
10.243146000,1
10.243164000,0
10.243206000,1
10.243224000,0
10.243266000,1
10.243284000,0
10.243326000,1
10.243344000,0
10.243386000,1
10.243404000,0
10.243446000,1
10.243464000,0
10.243506000,1
10.243524000,0
10.243566000,1
10.243584000,0
10.243626000,1
10.243644000,0
10.243686000,1
10.243704000,0
10.243746000,1
10.243764000,0
10.243806000,1
10.243824000,0
10.243866000,1
10.243884000,0
10.243926000,1
10.243944000,0
10.243986000,1
10.244004000,0
10.244046000,1
10.244064000,0
10.244106000,1
10.244124000,0
10.244166000,1
10.244184000,0
10.244226000,1
10.244244000,0
10.244286000,1
10.244304000,0
10.244346000,1
10.244364000,0
10.244406000,1
10.244424000,0
10.244466000,1
10.244484000,0
10.244526000,1
10.244544000,0
10.244586000,1
10.244604000,0
10.244646000,1
10.244664000,0
10.244706000,1
10.244724000,0
10.244766000,1
10.244784000,0
10.244826000,1
10.244844000,0
10.244886000,1
10.244904000,0
10.244946000,1
10.244964000,0
10.245006000,1
10.245024000,0
10.245066000,1
10.245084000,0
10.245126000,1
10.245144000,0
10.245186000,1
10.245204000,0
10.245246000,1
10.245264000,0
10.245306000,1
10.245324000,0
10.245366000,1
10.245384000,0
10.245426000,1
10.245444000,0
10.245486000,1
10.245504000,0
10.245546000,1
10.245564000,0
10.245606000,1
10.245624000,0
10.245666000,1
10.245684000,0
10.245726000,1
10.245744000,0
10.245786000,1
10.245804000,0
10.245846000,1
10.245864000,0
10.245906000,1
10.245924000,0
10.245966000,1
